Tier2_Outcomes_ID,Name,Knowledge_Unit,Learning_Aspect,Objective_Number
,Explain why it is important to isolate and protect the execution of individual programs and environments that share common underlying resources.,SF/Virtualization and Isolation,[Familiarity],1
,Describe how the concept of indirection can create the illusion of a dedicated machine and its resources even when physically shared among multiple programs and environments.,SF/Virtualization and Isolation,[Familiarity],2
,"Measure the performance of two application instances running on separate virtual machines, and determine the effect of performance isolation.",SF/Virtualization and Isolation,[Assessment],3
,"Explain the distinction between program errors, system errors, and hardware faults (e.g., bad memory) and exceptions (e.g., attempt to divide by zero).",SF/Reliability through Redundancy,[Familiarity],1
,"Articulate the distinction between detecting, handling, and recovering from faults, and the methods for their implementation.",SF/Reliability through Redundancy,[Familiarity],2
,"Describe the role of error correcting codes in providing error checking and correction techniques in memories, storage, and networks.",SF/Reliability through Redundancy,[Familiarity],3
,Apply simple algorithms for exploiting redundant information for the purposes of data correction.,SF/Reliability through Redundancy,[Usage],4
,"Compare different error detection and correction methods for their data overhead, implementation complexity, and relative execution time for encoding, detecting, and correcting errors.",SF/Reliability through Redundancy,[Assessment],5
,Discuss how Internet access serves as a liberating force for people living under oppressive forms of government; explain how limits on Internet access are used as tools of political and social repression.,SP/Social Context,[Familiarity],6
,"Analyze the pros and cons of reliance on computing in the implementation of democracy (e.g. delivery of social services, electronic voting).",SP/Social Context,[Assessment],7
,"Describe the impact of the under-representation of diverse populations in the computing profession (e.g., industry culture, product diversity).",SP/Social Context,[Familiarity],8
,Explain the implications of context awareness in ubiquitous computing systems.,SP/Social Context,[Familiarity],9
,Describe ways in which professionals may contribute to public policy.,SP/Professional Ethics,[Familiarity],7
,Describe the consequences of inappropriate professional behavior.,SP/Professional Ethics,[Familiarity],8
,Identify progressive stages in a whistle-blowing incident.,SP/Professional Ethics,[Familiarity],9
,Identify examples of how regional culture interplays with ethical dilemmas.,SP/Professional Ethics,[Familiarity],10
,Investigate forms of harassment and discrimination and avenues of assistance.,SP/Professional Ethics,[Usage],11
,Examine various forms of professional credentialing.,SP/Professional Ethics,[Usage],12
,Explain the relationship between ergonomics in computing environments and people’s health.,SP/Professional Ethics,[Familiarity],13
,Develop a computer usage/acceptable use policy with enforcement measures.,SP/Professional Ethics,[Assessment],14
,Describe issues associated with industries’ push to focus on time to market versus enforcing quality professional standards.,SP/Professional Ethics,[Familiarity],15
,"Describe the environmental impacts of design choices within the field of computing that relate to algorithm design, operating system design, networking design, database design, etc.",SP/Sustainability,[Familiarity],3
,Investigate the social and environmental impacts of new system designs through projects.,SP/Sustainability,[Usage],4
