Elective_Topic_ID,Name,Knowledge_Unit
,"Multimedia search, information seeking behavior, user modeling, feedback",IM/Information Storage and Retrieval
,Information summarization and visualization,IM/Information Storage and Retrieval
,"Faceted search (e.g., using citations, keywords, classification schemes)",IM/Information Storage and Retrieval
,Digital libraries,IM/Information Storage and Retrieval
,"Digitization, storage, interchange, digital objects, composites, and packages",IM/Information Storage and Retrieval
,Metadata and cataloging,IM/Information Storage and Retrieval
,"Naming, repositories, archives",IM/Information Storage and Retrieval
,"Archiving and preservation, integrity",IM/Information Storage and Retrieval
,"Spaces (conceptual, geographical, 2/3D, VR)",IM/Information Storage and Retrieval
,"Architectures (agents, buses, wrappers/mediators), interoperability",IM/Information Storage and Retrieval
,"Services (searching, linking, browsing, and so forth)",IM/Information Storage and Retrieval
,"Intellectual property rights management, privacy, and protection (watermarking)",IM/Information Storage and Retrieval
,"Input and output devices, device drivers, control signals and protocols, DSPs",IM/Multimedia Systems
,"Standards (e.g., audio, graphics, video)",IM/Multimedia Systems
,"Applications, media editors, authoring systems, and authoring",IM/Multimedia Systems
,"Streams/structures, capture/represent/transform, spaces/domains, compression/coding",IM/Multimedia Systems
,"Content-based analysis, indexing, and retrieval of audio, images, animation, and video",IM/Multimedia Systems
,"Presentation, rendering, synchronization, multi-modal integration/interfaces",IM/Multimedia Systems
,"Real-time delivery, quality of service (including performance), capacity planning, audio/video conferencing, video-on-demand",IM/Multimedia Systems
,Philosophical and ethical issues,IS/Fundamental Issues
,"Constructing search trees, dynamic search space, combinatorial explosion ofsearch space",IS/Advanced Search
,Stochastic search,IS/Advanced Search
,Simulated annealing,IS/Advanced Search
,Genetic algorithms,IS/Advanced Search
,Monte-Carlo tree search,IS/Advanced Search
,"Implementation of A* search, beam search",IS/Advanced Search
,"Minimax search, alpha-beta pruning",IS/Advanced Search
,Expectimax search (MDP-solving) and chance nodes,IS/Advanced Search
,Knowledge representation issues,IS/Advanced Representation and Reasoning
,Description logics,IS/Advanced Representation and Reasoning
,Ontology engineering,IS/Advanced Representation and Reasoning
,"Non-monotonic reasoning (e.g., non-classical logics, default reasoning)",IS/Advanced Representation and Reasoning
,Argumentation,IS/Advanced Representation and Reasoning
,"Reasoning about action and change (e.g., situation and event calculus)",IS/Advanced Representation and Reasoning
,Temporal and spatial reasoning,IS/Advanced Representation and Reasoning
,Rule-based Expert Systems,IS/Advanced Representation and Reasoning
,Semantic networks,IS/Advanced Representation and Reasoning
,Model-based and Case-based reasoning,IS/Advanced Representation and Reasoning
,Planning:,IS/Advanced Representation and Reasoning
,Partial and totally ordered planning,IS/Advanced Representation and Reasoning
,Plan graphs,IS/Advanced Representation and Reasoning
,Hierarchical planning,IS/Advanced Representation and Reasoning
,Planning and execution including conditional planning and continuous planning,IS/Advanced Representation and Reasoning
,Mobile agent/Multi-agent planning,IS/Advanced Representation and Reasoning
,Review of basic probability (cross-reference DS/Discrete Probability),IS/Reasoning Under Uncertainty
,Random variables and probability distributions,IS/Reasoning Under Uncertainty
,Axioms of probability,IS/Reasoning Under Uncertainty
,Probabilistic inference,IS/Reasoning Under Uncertainty
,Bayes’ Rule,IS/Reasoning Under Uncertainty
,Conditional Independence,IS/Reasoning Under Uncertainty
,Knowledge representations,IS/Reasoning Under Uncertainty
,Bayesian Networks,IS/Reasoning Under Uncertainty
,Exact inference and its complexity,IS/Reasoning Under Uncertainty
,Randomized sampling (Monte Carlo) methods (e.g. Gibbs sampling),IS/Reasoning Under Uncertainty
,Markov Networks,IS/Reasoning Under Uncertainty
,Relational probability models,IS/Reasoning Under Uncertainty
,Hidden Markov Models,IS/Reasoning Under Uncertainty
,Decision Theory,IS/Reasoning Under Uncertainty
,Preferences and utility functions,IS/Reasoning Under Uncertainty
,Maximizing expected utility,IS/Reasoning Under Uncertainty
,Definitions of agents,IS/Agents
,"Agent architectures (e.g., reactive, layered, cognitive)",IS/Agents
,Agent theory,IS/Agents
,"Rationality, game theory",IS/Agents
,Decision-theoretic agents,IS/Agents
,Markov decision processes (MDP),IS/Agents
,"Software agents, personal assistants, and information access",IS/Agents
,Collaborative agents,IS/Agents
,Information-gathering agents,IS/Agents
,"Believable agents (synthetic characters, modeling emotions in agents)",IS/Agents
,Learning agents,IS/Agents
,Multi-agent systems,IS/Agents
,Collaborating agents,IS/Agents
,Agent teams,IS/Agents
,"Competitive agents (e.g., auctions, voting)",IS/Agents
,Swarm systems and biologically inspired models,IS/Agents
,Deterministic and stochastic grammars,IS/Natural Language Processing
,Parsing algorithms,IS/Natural Language Processing
,CFGs and chart parsers (e.g. CYK),IS/Natural Language Processing
,Probabilistic CFGs and weighted CYK,IS/Natural Language Processing
,Representing meaning / Semantics,IS/Natural Language Processing
,Logic-based knowledge representations,IS/Natural Language Processing
,Semantic roles,IS/Natural Language Processing
,Temporal representations,IS/Natural Language Processing
,"Beliefs, desires, and intentions",IS/Natural Language Processing
,Corpus-based methods,IS/Natural Language Processing
,N-grams and HMMs,IS/Natural Language Processing
,Smoothing and backoff,IS/Natural Language Processing
,Examples of use: POS tagging and morphology,IS/Natural Language Processing
,Information retrieval (Cross-reference IM/Information Storage and Retrieval),IS/Natural Language Processing
,Vector space model,IS/Natural Language Processing
,TF & IDF,IS/Natural Language Processing
,Precision and recall,IS/Natural Language Processing
,Information extraction,IS/Natural Language Processing
,Language translation,IS/Natural Language Processing
,"Text classification, categorization",IS/Natural Language Processing
,Bag of words model,IS/Natural Language Processing
,Definition and examples of broad variety of machine learning tasks,IS/Advanced Machine Learning
,"General statistical-based learning, parameter estimation (maximum likelihood)",IS/Advanced Machine Learning
,Inductive logic programming (ILP),IS/Advanced Machine Learning
,Supervised learning,IS/Advanced Machine Learning
,Learning decision trees,IS/Advanced Machine Learning
,Learning neural networks,IS/Advanced Machine Learning
,Support vector machines (SVMs),IS/Advanced Machine Learning
,Ensembles,IS/Advanced Machine Learning
,Nearest-neighbor algorithms,IS/Advanced Machine Learning
,Unsupervised Learning and clustering,IS/Advanced Machine Learning
,EM,IS/Advanced Machine Learning
,K-means,IS/Advanced Machine Learning
,Self-organizing maps,IS/Advanced Machine Learning
,Semi-supervised learning,IS/Advanced Machine Learning
,Learning graphical models (Cross-reference IS/Reasoning under Uncertainty),IS/Advanced Machine Learning
,"Performance evaluation (such as cross-validation, area under ROC curve)",IS/Advanced Machine Learning
,Learning theory,IS/Advanced Machine Learning
,"The problem of overfitting, the curse of dimensionality",IS/Advanced Machine Learning
,Reinforcement learning,IS/Advanced Machine Learning
,Exploration vs. exploitation trade-off,IS/Advanced Machine Learning
,Markov decision processes,IS/Advanced Machine Learning
,Value and policy iteration,IS/Advanced Machine Learning
,Application of Machine Learning algorithms to Data Mining (cross-reference IM/Data Mining),IS/Advanced Machine Learning
,Overview: problems and progress,IS/Robotics
,"State-of-the-art robot systems, including their sensors and an overview of their sensor processing",IS/Robotics
,"Robot control architectures, e.g., deliberative vs. reactive control and Braitenberg vehicles",IS/Robotics
,World modeling and world models,IS/Robotics
,Inherent uncertainty in sensing and in control,IS/Robotics
,Configuration space and environmental maps,IS/Robotics
,Interpreting uncertain sensor data,IS/Robotics
,Localizing and mapping,IS/Robotics
,Navigation and control,IS/Robotics
,Motion planning,IS/Robotics
,Multiple-robot coordination,IS/Robotics
,Computer vision,IS/Perception and Computer Vision
,"Image acquisition, representation, processing and properties",IS/Perception and Computer Vision
,"Shape representation, object recognition and segmentation",IS/Perception and Computer Vision
,Motion analysis,IS/Perception and Computer Vision
,Audio and speech recognition,IS/Perception and Computer Vision
,Modularity in recognition,IS/Perception and Computer Vision
,Approaches to pattern recognition (cross-reference IS/Advanced Machine Learning),IS/Perception and Computer Vision
,Classification algorithms and measures of classification quality,IS/Perception and Computer Vision
,Statistical techniques,IS/Perception and Computer Vision
,Social networks overview,NC/Social Networking
,Example social network platforms,NC/Social Networking
,Structure of social network graphs,NC/Social Networking
,Social network analysis,NC/Social Networking
,"Types of virtualization (including Hardware/Software, OS, Server, Service, Network)",OS/Virtual Machines
,Paging and virtual memory,OS/Virtual Machines
,Virtual file systems,OS/Virtual Machines
,Hypervisors,OS/Virtual Machines
,Portable virtualization; emulation vs. isolation,OS/Virtual Machines
,Cost of virtualization,OS/Virtual Machines
,Characteristics of serial and parallel devices,OS/Device Management
,Abstracting device differences,OS/Device Management
,Buffering strategies,OS/Device Management
,Direct memory access,OS/Device Management
,Recovery from failures,OS/Device Management
,"Files: data, metadata, operations, organization, buffering, sequential, nonsequential",OS/File Systems
,Directories: contents and structure,OS/File Systems
,"File systems: partitioning, mount/unmount, virtual file systems",OS/File Systems
,Standard implementation techniques,OS/File Systems
,Memory-mapped files,OS/File Systems
,Special-purpose file systems,OS/File Systems
,"Naming, searching, access, backups",OS/File Systems
,Journaling and log-structured file systems,OS/File Systems
,Process and task scheduling,OS/Real Time and Embedded Systems
,Memory/disk management requirements in a real-time environment,OS/Real Time and Embedded Systems
,"Failures, risks, and recovery",OS/Real Time and Embedded Systems
,Special concerns in real-time systems,OS/Real Time and Embedded Systems
,Fundamental concepts: reliable and available systems (cross-reference SF/Reliability through Redundancy),OS/Fault Tolerance
,Spatial and temporal redundancy (cross-reference SF/Reliability through Redundancy),OS/Fault Tolerance
,Methods used to implement fault tolerance,OS/Fault Tolerance
,"Examples of OS mechanisms for detection, recovery, restart to implement fault tolerance, use of these techniques for the OS’s own services",OS/Fault Tolerance
,Why system performance needs to be evaluated (cross-reference SF/Performance/Figures of performance merit),OS/System Performance Evaluation
,What is to be evaluated (cross-reference SF/Performance/Figures of performance merit),OS/System Performance Evaluation
,"Systems performance policies, e.g., caching, paging, scheduling, memory management, and security evaluation models: deterministic, analytic, simulation, or implementation-specific how to collect evaluation data (profiling and tracing mechanisms)",OS/System Performance Evaluation
,"Overview of platforms (e.g., Web, Mobile, Game, Industrial)",PBD/Introduction
,Programming via platform-specific APIs,PBD/Introduction
,"Overview of Platform Languages (e.g., Objective C, HTML5)",PBD/Introduction
,Programming under platform constraints,PBD/Introduction
,"Web programming languages (e.g., HTML5, Java Script, PHP, CSS)",PBD/Web Platforms
,Web platform constraints,PBD/Web Platforms
,Software as a Service (SaaS),PBD/Web Platforms
,Web standards,PBD/Web Platforms
,Mobile programming languages,PBD/Mobile Platforms
,Challenges with mobility and wireless communication,PBD/Mobile Platforms
,Location-aware applications,PBD/Mobile Platforms
,Performance / power tradeoffs,PBD/Mobile Platforms
,Mobile platform constraints,PBD/Mobile Platforms
,Emerging technologies,PBD/Mobile Platforms
,"Types of Industrial Platforms (e.g., Mathematic, Robotic, Industrial Control)",PBD/Industrial Platforms
,Robotic software and its architecture,PBD/Industrial Platforms
,Domain-specific languages,PBD/Industrial Platforms
,Industrial platform constraints,PBD/Industrial Platforms
,"Types of game platforms (e.g., XBox, Wii, PlayStation)",PBD/Game Platforms
,"Game platform languages (e.g., C++, Java, Lua, Python)",PBD/Game Platforms
,Game platform constraints,PBD/Game Platforms
,Consensus,PD/Communication and Coordination
,"(Cyclic) barriers, counters, or related constructs",PD/Communication and Coordination
,Conditional actions,PD/Communication and Coordination
,"Conditional waiting (e.g., using condition variables)",PD/Communication and Coordination
,"Parallel graph algorithms (e.g., parallel shortest path, parallel spanning tree) (cross-reference AL/Algorithmic Strategies/Divide-and-conquer)","PD/Parallel Algorithms, Analysis, and Programming"
,Parallel matrix computations,"PD/Parallel Algorithms, Analysis, and Programming"
,Producer-consumer and pipelined algorithms,"PD/Parallel Algorithms, Analysis, and Programming"
,Examples of non-scalable parallel algorithms,"PD/Parallel Algorithms, Analysis, and Programming"
,"GPU, co-processing",PD/Parallel Architecture
,Flynn’s taxonomy,PD/Parallel Architecture
,Instruction level support for parallel programming,PD/Parallel Architecture
,Atomic instructions such as Compare and Set,PD/Parallel Architecture
,Memory issues,PD/Parallel Architecture
,Multiprocessor caches and cache coherence,PD/Parallel Architecture
,Non-uniform memory access (NUMA),PD/Parallel Architecture
,Topologies,PD/Parallel Architecture
,Interconnects,PD/Parallel Architecture
,Clusters,PD/Parallel Architecture
,"Resource sharing (e.g., buses and interconnects)",PD/Parallel Architecture
,Load balancing,PD/Parallel Performance
,Performance measurement,PD/Parallel Performance
,Scheduling and contention (cross-reference OS/Scheduling and Dispatch),PD/Parallel Performance
,Evaluating communication overhead,PD/Parallel Performance
,Data management,PD/Parallel Performance
,Non-uniform communication costs due to proximity (cross-reference SF/Proximity),PD/Parallel Performance
,"Cache effects (e.g., false sharing)",PD/Parallel Performance
,Maintaining spatial locality,PD/Parallel Performance
,Power usage and management,PD/Parallel Performance
,Faults (cross-reference OS/Fault Tolerance),PD/Distributed Systems
,Network-based (including partitions) and node-based failures,PD/Distributed Systems
,"Impact on system-wide guarantees (e.g., availability)",PD/Distributed Systems
,Distributed message sending,PD/Distributed Systems
,Data conversion and transmission,PD/Distributed Systems
,Sockets,PD/Distributed Systems
,Message sequencing,PD/Distributed Systems
,"Buffering, retrying, and dropping messages",PD/Distributed Systems
,Distributed system design tradeoffs,PD/Distributed Systems
,Latency versus throughput,PD/Distributed Systems
,"Consistency, availability, partition tolerance",PD/Distributed Systems
,Distributed service design,PD/Distributed Systems
,Stateful versus stateless protocols and services,PD/Distributed Systems
,Session (connection-based) designs,PD/Distributed Systems
,Reactive (IO-triggered) and multithreaded designs,PD/Distributed Systems
,Core distributed algorithms,PD/Distributed Systems
,"Election, discovery",PD/Distributed Systems
,Internet-Scale computing,PD/Cloud Computing
,"Task partitioning (cross-reference PD/Parallel Algorithms, Analysis, and Programming)",PD/Cloud Computing
,Data access,PD/Cloud Computing
,"Clusters, grids, and meshes",PD/Cloud Computing
,Cloud services,PD/Cloud Computing
,Infrastructure as a service,PD/Cloud Computing
,Elasticity of resources,PD/Cloud Computing
,Platform APIs,PD/Cloud Computing
,Software as a service,PD/Cloud Computing
,Security,PD/Cloud Computing
,Cost management,PD/Cloud Computing
,Virtualization (cross-reference SF/Virtualization and Isolation and OS/Virtual Machines),PD/Cloud Computing
,Shared resource management,PD/Cloud Computing
,Migration of processes,PD/Cloud Computing
,Cloud-based data storage,PD/Cloud Computing
,Shared access to weakly consistent data stores,PD/Cloud Computing
,Data synchronization,PD/Cloud Computing
,Data partitioning,PD/Cloud Computing
,Distributed file systems (cross-reference IM/Distributed Databases),PD/Cloud Computing
,Replication,PD/Cloud Computing
,"Formal models of processes and message passing, including algebras such as Communicating Sequential",PD/Formal Models and Semantics
,Processes (CSP) and pi-calculus,PD/Formal Models and Semantics
,"Formal models of parallel computation, including the Parallel Random-Access Machine (PRAM) and alternatives such as Bulk Synchronous Parallel (BSP)",PD/Formal Models and Semantics
,Formal models of computational dependencies,PD/Formal Models and Semantics
,Models of (relaxed) shared memory consistency and their relation to programming language specifications,PD/Formal Models and Semantics
,Algorithmic correctness criteria including linearizability,PD/Formal Models and Semantics
,"Models of algorithmic progress, including non-blocking guarantees and fairness",PD/Formal Models and Semantics
,Techniques for specifying and checking correctness properties such as atomicity and freedom from data races,PD/Formal Models and Semantics
,Scanning (lexical analysis) using regular expressions,PL/Syntax Analysis
,"Parsing strategies including top-down (e.g., recursive descent, Earley parsing, or LL) and bottom-up (e.g., backtracking or LR) techniques; role of context-free grammars",PL/Syntax Analysis
,Generating scanners and parsers from declarative specifications,PL/Syntax Analysis
,High-level program representations such as abstract syntax trees,PL/Compiler Semantic Analysis
,Scope and binding resolution,PL/Compiler Semantic Analysis
,Type checking,PL/Compiler Semantic Analysis
,Declarative specifications such as attribute grammars,PL/Compiler Semantic Analysis
,Procedure calls and method dispatching,PL/Code Generation
,Separate compilation; linking,PL/Code Generation
,Instruction selection,PL/Code Generation
,Instruction scheduling,PL/Code Generation
,Register allocation,PL/Code Generation
,Peephole optimization,PL/Code Generation
,"Dynamic memory management approaches and techniques: malloc/free, garbage collection (mark-sweep, copying, reference counting), regions (also known as arenas or zones)",PL/Runtime Systems
,Data layout for objects and activation records,PL/Runtime Systems
,Just-in-time compilation and dynamic recompilation,PL/Runtime Systems
,"Other common features of virtual machines, such as class loading, threads, and security.",PL/Runtime Systems
,"Relevant program representations, such as basic blocks, control-flow graphs, def-use chains, and static single assignment",PL/Static Analysis
,Undecidability and consequences for program analysis,PL/Static Analysis
,"Flow-insensitive analyses, such as type-checking and scalable pointer and alias analyses",PL/Static Analysis
,"Flow-sensitive analyses, such as forward and backward dataflow analyses",PL/Static Analysis
,"Path-sensitive analyses, such as software model checking",PL/Static Analysis
,Tools and frameworks for defining analyses,PL/Static Analysis
,Role of static analysis in program optimization,PL/Static Analysis
,Role of static analysis in (partial) verification and bug-finding,PL/Static Analysis
,Lazy evaluation and infinite streams,PL/Advanced Programming Constructs
,"Control Abstractions: Exception Handling, Continuations, Monads",PL/Advanced Programming Constructs
,"Object-oriented abstractions: Multiple inheritance, Mixins, Traits, Multimethods",PL/Advanced Programming Constructs
,"Metaprogramming: Macros, Generative programming, Model-based development",PL/Advanced Programming Constructs
,Module systems,PL/Advanced Programming Constructs
,String manipulation via pattern-matching (regular expressions),PL/Advanced Programming Constructs
,Dynamic code evaluation (“eval”),PL/Advanced Programming Constructs
,"Language support for checking assertions, invariants, and pre/post-conditions",PL/Advanced Programming Constructs
,Constructs for thread-shared variables and shared-memory synchronization,PL/Concurrency and Parallelism
,Actor models,PL/Concurrency and Parallelism
,Futures,PL/Concurrency and Parallelism
,Language support for data parallelism,PL/Concurrency and Parallelism
,Models for passing messages between sequential processes,PL/Concurrency and Parallelism
,Effect of memory-consistency models on language semantics and correct code generation,PL/Concurrency and Parallelism
,"Compositional type constructors, such as product types (for aggregates), sum types (for unions), function types, quantified types, and recursive types",PL/Type Systems
,Type checking,PL/Type Systems
,Type safety as preservation plus progress,PL/Type Systems
,Type inference,PL/Type Systems
,Static overloading,PL/Type Systems
,Syntax vs. semantics,PL/Formal Semantics
,Lambda Calculus,PL/Formal Semantics
,"Approaches to semantics: Operational, Denotational, Axiomatic",PL/Formal Semantics
,Proofs by induction over language semantics,PL/Formal Semantics
,Formal definitions and proofs for type systems (cross-reference PL/Type Systems),PL/Formal Semantics
,Parametricity (cross-reference PL/Type Systems),PL/Formal Semantics
,Using formal semantics for systems modeling,PL/Formal Semantics
,Principles of language design such as orthogonality,PL/Language Pragmatics
,"Evaluation order, precedence, and associativity",PL/Language Pragmatics
,Eager vs. delayed evaluation,PL/Language Pragmatics
,Defining control and iteration constructs,PL/Language Pragmatics
,External calls and system libraries,PL/Language Pragmatics
,Clausal representation of data structures and algorithms,PL/Logic Programming
,Unification,PL/Logic Programming
,Backtracking and search,PL/Logic Programming
,Cuts,PL/Logic Programming
,Software quality concepts,SE/Software Processes
,Process improvement,SE/Software Processes
,Software process capability maturity models,SE/Software Processes
,Software process measurements,SE/Software Processes
,Team management,SE/Software Project Management
,Team organization and decision-making,SE/Software Project Management
,Role identification and assignment,SE/Software Project Management
,Individual and team performance assessment,SE/Software Project Management
,Project management,SE/Software Project Management
,Scheduling and tracking,SE/Software Project Management
,Project management tools,SE/Software Project Management
,Cost/benefit analysis,SE/Software Project Management
,Software measurement and estimation techniques,SE/Software Project Management
,Software quality assurance and the role of measurements,SE/Software Project Management
,Risk,SE/Software Project Management
,Risk identification and management,SE/Software Project Management
,Risk analysis and evaluation,SE/Software Project Management
,"Risk tolerance (e.g., risk-adverse, risk-neutral, risk-seeking)",SE/Software Project Management
,Risk planning,SE/Software Project Management
,System-wide approach to risk including hazards associated with tools,SE/Software Project Management
,Requirements analysis modeling techniques,SE/Requirements Engineering
,Acceptability of certainty / uncertainty considerations regarding software / system behavior,SE/Requirements Engineering
,Prototyping,SE/Requirements Engineering
,Basic concepts of formal requirements specification,SE/Requirements Engineering
,Requirements specification,SE/Requirements Engineering
,Requirements validation,SE/Requirements Engineering
,Requirements tracing,SE/Requirements Engineering
,"Internal design qualities, and models for them: efficiency and performance, redundancy and fault",SE/Software Design
,"tolerance, traceability of requirements",SE/Software Design
,"External design qualities, and models for them: functionality, reliability, performance and efficiency,",SE/Software Design
,"usability, maintainability, portability",SE/Software Design
,Measurement and analysis of design quality,SE/Software Design
,Tradeoffs between different aspects of quality,SE/Software Design
,Application frameworks,SE/Software Design
,"Middleware: the object-oriented paradigm within middleware, object request brokers and marshalling,",SE/Software Design
,"transaction processing monitors, workflow systems",SE/Software Design
,Principles of secure design and coding (cross-reference IAS/Principles of Secure Design),SE/Software Design
,Principle of least privilege,SE/Software Design
,Principle of fail-safe defaults,SE/Software Design
,Principle of psychological acceptability,SE/Software Design
,Potential security problems in programs,SE/Software Construction
,Buffer and other types of overflows,SE/Software Construction
,Race conditions,SE/Software Construction
,"Improper initialization, including choice of privileges",SE/Software Construction
,Checking input,SE/Software Construction
,Assuming success and correctness,SE/Software Construction
,Validating assumptions,SE/Software Construction
,Static approaches and dynamic approaches to verification,SE/Software Verification and Validation
,Test-driven development,SE/Software Verification and Validation
,Validation planning; documentation for validation,SE/Software Verification and Validation
,Object-oriented testing; systems testing,SE/Software Verification and Validation
,"Verification and validation of non-code artifacts (documentation, help files, training materials)",SE/Software Verification and Validation
,"Fault logging, fault tracking and technical support for such activities",SE/Software Verification and Validation
,Fault estimation and testing termination including defect seeding,SE/Software Verification and Validation
,Software reliability models,SE/Software Reliability
,Software fault tolerance techniques and models,SE/Software Reliability
,Software reliability engineering practices,SE/Software Reliability
,Measurement-based analysis of software reliability,SE/Software Reliability
,Role of formal specification and analysis techniques in the software development cycle,SE/Formal Methods
,Program assertion languages and analysis approaches (including languages for writing and analyzing preand,SE/Formal Methods
,"post-conditions, such as OCL, JML)",SE/Formal Methods
,Formal approaches to software modeling and analysis,SE/Formal Methods
,Model checkers,SE/Formal Methods
,Model finders,SE/Formal Methods
,Tools in support of formal methods,SE/Formal Methods
,Analytical tools to guide quantitative evaluation,SF/Quantitative Evaluation
,Order of magnitude analysis (Big-Oh notation),SF/Quantitative Evaluation
,Analysis of slow and fast paths of a system,SF/Quantitative Evaluation
,"Events on their effect on performance (e.g., instruction stalls, cache misses, page faults)",SF/Quantitative Evaluation
,"Understanding layered systems, workloads, and platforms, their implications for performance, and the challenges they represent for evaluation",SF/Quantitative Evaluation
,Microbenchmarking pitfalls,SF/Quantitative Evaluation
,Foundations of the open source movement,SP/Intellectual Property
,Software piracy,SP/Intellectual Property
,Privacy legislation in areas of practice,SP/Privacy and Civil Liberties
,Civil liberties and cultural differences,SP/Privacy and Civil Liberties
,Freedom of expression and its limitations,SP/Privacy and Civil Liberties
,Dealing with cross-cultural environments (cross-reference HCI/User-Centered Design and Testing/crosscultural evaluation),SP/Professional Communication
,"Tradeoffs of competing risks in software projects, such as technology, structure/process, quality, people, market and financial (cross-reference SE/Software Project Management/Risk)",SP/Professional Communication
,Guidelines for sustainable design standards,SP/Sustainability
,Systemic effects of complex computer-mediated phenomena (e.g. telecommuting or web shopping),SP/Sustainability
,"Pervasive computing; information processing integrated into everyday objects and activities, such as smart energy systems, social networking and feedback systems to promote sustainable behavior, transportation, environmental monitoring, citizen science and activism.",SP/Sustainability
,"Research on applications of computing to environmental issues, such as energy, pollution, resource usage, recycling and reuse, food management, farming and others.",SP/Sustainability
,"The interdependence of the sustainability of software systems with social systems, including the knowledge and skills of its users, organizational processes and policies, and its societal context (e.g., market forces, government policies).",SP/Sustainability
,Prehistory—the world before 1946,SP/History
,"History of computer hardware, software, networking (cross-reference AR/Digital logic and digital systems/history of computer architecture)",SP/History
,Pioneers of computing,SP/History
,History of the Internet,SP/History
,Monopolies and their economic implications,SP/Economies of Computing
,Effect of skilled labor supply and demand on the quality of computing products,SP/Economies of Computing
,Pricing strategies in the computing domain,SP/Economies of Computing
,The phenomenon of outsourcing and off-shoring software development; impacts on employment and on economics,SP/Economies of Computing
,Consequences of globalization for the computer science profession,SP/Economies of Computing
,Differences in access to computing resources and the possible effects thereof,SP/Economies of Computing
,"Cost/benefit analysis of jobs with considerations to manufacturing, hardware, software, and engineering implications",SP/Economies of Computing
,Cost estimates versus actual costs in relation to total costs,SP/Economies of Computing
,Entrepreneurship: prospects and pitfalls,SP/Economies of Computing
,Network effect or demand-side economies of scale,SP/Economies of Computing
,Use of engineering economics in dealing with finances,SP/Economies of Computing
,Examples of computer crimes and legal redress for computer criminals (cross-reference IAS/Digital,"SP/Security Policies, Laws and Computer Crimes"
,Forensics/rules of evidence),"SP/Security Policies, Laws and Computer Crimes"
,"Social engineering, identity theft and recovery (cross-reference HCI/Human Factors and Security/trust, privacy and deception)","SP/Security Policies, Laws and Computer Crimes"
,Issues surrounding the misuse of access and breaches in security,"SP/Security Policies, Laws and Computer Crimes"
,"Motivations and ramifications of cyber terrorism and criminal hacking, “cracking”","SP/Security Policies, Laws and Computer Crimes"
,"Effects of malware, such as viruses, worms and Trojan horses","SP/Security Policies, Laws and Computer Crimes"
,Crime prevention strategies,"SP/Security Policies, Laws and Computer Crimes"
,Security policies (cross-reference IAS/Security Policy and Governance/policies),"SP/Security Policies, Laws and Computer Crimes"
