Elective_Outcomes_ID,Name,Knowledge_Unit,Learning_Aspect,Objective_Number
,Compare and contrast the basic techniques for qualitative representation.,IS/Advanced Representation and Reasoning,[Assessment],4
,Apply situation and event calculus to problems of action and change.,IS/Advanced Representation and Reasoning,[Usage],5
,"Explain the distinction between temporal and spatial reasoning, and how they interrelate.",IS/Advanced Representation and Reasoning,[Familiarity],6
,"Explain the difference between rule-based, case-based and model-based reasoning techniques.",IS/Advanced Representation and Reasoning,[Familiarity],7
,Define the concept of a planning system and how it differs from classical search techniques.,IS/Advanced Representation and Reasoning,[Familiarity],8
,"Describe the differences between planning as search, operator-based planning, and propositional planning, providing examples of domains where each is most applicable.",IS/Advanced Representation and Reasoning,[Familiarity],9
,Explain the distinction between monotonic and non-monotonic inference.,IS/Advanced Representation and Reasoning,[Familiarity],10
,Apply Bayes’ rule to determine the probability of a hypothesis given evidence.,IS/Reasoning Under Uncertainty,[Usage],1
,Explain how conditional independence assertions allow for greater efficiency of probabilistic systems.,IS/Reasoning Under Uncertainty,[Assessment],2
,Identify examples of knowledge representations for reasoning under uncertainty.,IS/Reasoning Under Uncertainty,[Familiarity],3
,State the complexity of exact inference. Identify methods for approximate inference.,IS/Reasoning Under Uncertainty,[Familiarity],4
,Design and implement at least one knowledge representation for reasoning under uncertainty.,IS/Reasoning Under Uncertainty,[Usage],5
,Describe the complexities of temporal probabilistic reasoning.,IS/Reasoning Under Uncertainty,[Familiarity],6
,Design and implement an HMM as one example of a temporal probabilistic system.,IS/Reasoning Under Uncertainty,[Usage],7
,Describe the relationship between preferences and utility functions.,IS/Reasoning Under Uncertainty,[Familiarity],8
,Explain how utility functions and probabilistic reasoning can be combined to make rational decisions.,IS/Reasoning Under Uncertainty,[Assessment],9
,List the defining characteristics of an intelligent agent.,IS/Agents,[Familiarity],1
,Characterize and contrast the standard agent architectures.,IS/Agents,[Assessment],2
,"Describe the applications of agent theory to domains such as software agents, personal assistants, and believable agents.",IS/Agents,[Familiarity],3
,Describe the primary paradigms used by learning agents.,IS/Agents,[Familiarity],4
,Demonstrate using appropriate examples how multi-agent systems support agent interaction.,IS/Agents,[Usage],5
,"Define and contrast deterministic and stochastic grammars, providing examples to show the adequacy of each.",IS/Natural Language Processing,[Assessment],1
,"Simulate, apply, or implement classic and stochastic algorithms for parsing natural language.",IS/Natural Language Processing,[Usage],2
,Identify the challenges of representing meaning.,IS/Natural Language Processing,[Familiarity],3
,List the advantages of using standard corpora. Identify examples of current corpora for a variety of NLP tasks.,IS/Natural Language Processing,[Familiarity],4
,"Identify techniques for information retrieval, language translation, and text classification.",IS/Natural Language Processing,[Familiarity],5
,"Explain the differences among the three main styles of learning: supervised, reinforcement, and unsupervised.",IS/Advanced Machine Learning,[Familiarity],1
,"Implement simple algorithms for supervised learning, reinforcement learning, and unsupervised learning.",IS/Advanced Machine Learning,[Usage],2
,Determine which of the three learning styles is appropriate to a particular problem domain.,IS/Advanced Machine Learning,[Usage],3
,"Compare and contrast each of the following techniques, providing examples of when each strategy is superior: decision trees, neural networks, and belief networks.",IS/Advanced Machine Learning,[Assessment],4
,Evaluate the performance of a simple learning system on a real-world dataset.,IS/Advanced Machine Learning,[Assessment],5
,"Characterize the state of the art in learning theory, including its achievements and its shortcomings.",IS/Advanced Machine Learning,[Familiarity],6
,"Explain the problem of overfitting, along with techniques for detecting and managing the problem.",IS/Advanced Machine Learning,[Usage],7
,"List capabilities and limitations of today's state-of-the-art robot systems, including their sensors and the crucial sensor processing that informs those systems.",IS/Robotics,[Familiarity],1
,"Integrate sensors, actuators, and software into a robot designed to undertake some task.",IS/Robotics,[Usage],2
,"Program a robot to accomplish simple tasks using deliberative, reactive, and/or hybrid control architectures.",IS/Robotics,[Usage],3
,Implement fundamental motion planning algorithms within a robot configuration space.,IS/Robotics,[Usage],4
,Characterize the uncertainties associated with common robot sensors and actuators; articulate strategies for mitigating these uncertainties.,IS/Robotics,[Familiarity],5
,"List the differences among robots' representations of their external environment, including their strengths and shortcomings.",IS/Robotics,[Familiarity],6
,"Compare and contrast at least three strategies for robot navigation within known and/or unknown environments, including their strengths and shortcomings.",IS/Robotics,[Assessment],7
,Describe at least one approach for coordinating the actions and sensing of several robots to accomplish a single task.,IS/Robotics,[Familiarity],8
,Summarize the importance of image and object recognition in AI and indicate several significant applications of this technology.,IS/Perception and Computer Vision,[Familiarity],1
,"List at least three image-segmentation approaches, such as thresholding, edge-based and region-based algorithms, along with their defining characteristics, strengths, and weaknesses.",IS/Perception and Computer Vision,[Familiarity],2
,Implement 2d object recognition based on contour- and/or region-based shape representations.,IS/Perception and Computer Vision,[Usage],3
,"Distinguish the goals of sound-recognition, speech-recognition, and speaker-recognition and identify how the raw audio signal will be handled differently in each of these cases.",IS/Perception and Computer Vision,[Familiarity],4
,"Provide at least two examples of a transformation of a data source from one sensory domain to another, e.g., tactile data interpreted as single-band 2d images.",IS/Perception and Computer Vision,[Familiarity],5
,"Implement a feature-extraction algorithm on real data, e.g., an edge or corner detector for images or vectors of Fourier coefficients describing a short slice of audio signal.",IS/Perception and Computer Vision,[Usage],6
,"Implement an algorithm combining features into higher-level percepts, e.g., a contour or polygon from visual primitives or phoneme hypotheses from an audio signal.",IS/Perception and Computer Vision,[Usage],7
,Implement a classification algorithm that segments input percepts into output categories and quantitatively evaluates the resulting classification.,IS/Perception and Computer Vision,[Usage],8
,"Evaluate the performance of the underlying feature-extraction, relative to at least one alternative possible approach (whether implemented or not) in its contribution to the classification task (8), above.",IS/Perception and Computer Vision,[Assessment],9
,"Describe at least three classification approaches, their prerequisites for applicability, their strengths, and their shortcomings.",IS/Perception and Computer Vision,[Familiarity],10
,"Discuss the key principles (such as membership, trust) of social networking.",NC/Social Networking,[Familiarity],1
,Describe how existing social networks operate.,NC/Social Networking,[Familiarity],2
,Construct a social network graph from network data.,NC/Social Networking,[Usage],3
,Analyze a social network to determine who the key people are.,NC/Social Networking,[Usage],4
,Evaluate a given interpretation of a social network question with associated data.,NC/Social Networking,[Assessment],5
,Explain the concept of virtual memory and how it is realized in hardware and software.,OS/Virtual Machines,[Familiarity],1
,Differentiate emulation and isolation.,OS/Virtual Machines,[Familiarity],2
,Evaluate virtualization trade-offs.,OS/Virtual Machines,[Assessment],3
,Discuss hypervisors and the need for them in conjunction with different types of hypervisors.,OS/Virtual Machines,[Usage],4
,Explain the key difference between serial and parallel devices and identify the conditions in which each is appropriate.,OS/Device Management,[Familiarity],1
,Identify the relationship between the physical hardware and the virtual devices maintained by the operating system.,OS/Device Management,[Usage],2
,Explain buffering and describe strategies for implementing it.,OS/Device Management,[Familiarity],3
,"Differentiate the mechanisms used in interfacing a range of devices (including hand-held devices, networks, multimedia) to a computer and explain the implications of these for the design of an operating system.",OS/Device Management,[Usage],4
,Describe the advantages and disadvantages of direct memory access and discuss the circumstances in which its use is warranted.,OS/Device Management,[Usage],5
,Identify the requirements for failure recovery.,OS/Device Management,[Familiarity],6
,Implement a simple device driver for a range of possible devices.,OS/Device Management,[Usage],7
,Describe the choices to be made in designing file systems.,OS/File Systems,[Familiarity],1
,"Compare and contrast different approaches to file organization, recognizing the strengths and weaknesses of each.",OS/File Systems,[Usage],2
,Summarize how hardware developments have led to changes in the priorities for the design and the management of file systems.,OS/File Systems,[Familiarity],3
,Summarize the use of journaling and how log-structured file systems enhance fault tolerance.,OS/File Systems,[Familiarity],4
,Describe what makes a system a real-time system.,OS/Real Time and Embedded Systems,[Familiarity],1
,Explain the presence of and describe the characteristics of latency in real-time systems.,OS/Real Time and Embedded Systems,[Familiarity],2
,"Summarize special concerns that real-time systems present, including risk, and how these concerns are addressed.",OS/Real Time and Embedded Systems,[Familiarity],3
,"Explain the relevance of the terms fault tolerance, reliability, and availability.",OS/Fault Tolerance,[Familiarity],1
,Outline the range of methods for implementing fault tolerance in an operating system.,OS/Fault Tolerance,[Familiarity],2
,Explain how an operating system can continue functioning after a fault occurs.,OS/Fault Tolerance,[Familiarity],3
,Describe the performance measurements used to determine how a system performs.,OS/System Performance Evaluation,[Familiarity],1
,Explain the main evaluation models used to evaluate a system.,OS/System Performance Evaluation,[Familiarity],2
,Describe how platform-based development differs from general purpose programming.,PBD/Introduction,[Familiarity],1
,List characteristics of platform languages.,PBD/Introduction,[Familiarity],2
,Write and execute a simple platform-based program.,PBD/Introduction,[Usage],3
,List the advantages and disadvantages of programming with platform constraints.,PBD/Introduction,[Familiarity],4
,Design and Implement a simple web application.,PBD/Web Platforms,[Usage],1
,Describe the constraints that the web puts on developers.,PBD/Web Platforms,[Familiarity],2
,Compare and contrast web programming with general purpose programming.,PBD/Web Platforms,[Assessment],3
,Describe the differences between Software-as-a-Service and traditional software products.,PBD/Web Platforms,[Familiarity],4
,Discuss how web standards impact software development.,PBD/Web Platforms,[Familiarity],5
,Review an existing web application against a current web standard.,PBD/Web Platforms,[Assessment],6
,Design and implement a mobile application for a given mobile platform.,PBD/Mobile Platforms,[Usage],1
,Discuss the constraints that mobile platforms put on developers.,PBD/Mobile Platforms,[Familiarity],2
,Discuss the performance vs. power tradeoff.,PBD/Mobile Platforms,[Familiarity],3
,Compare and contrast mobile programming with general purpose programming.,PBD/Mobile Platforms,[Assessment],4
,"Design and implement an industrial application on a given platform (e.g., using Lego Mindstorms or Matlab).",PBD/Industrial Platforms,[Usage],1
,Compare and contrast domain specific languages with general purpose programming languages.,PBD/Industrial Platforms,[Assessment],2
,Discuss the constraints that a given industrial platforms impose on developers.,PBD/Industrial Platforms,[Familiarity],3
,Design and implement a simple application on a game platform.,PBD/Game Platforms,[Usage],1
,Describe the constraints that game platforms impose on developers.,PBD/Game Platforms,[Familiarity],2
,Compare and contrast game programming with general purpose programming.,PBD/Game Platforms,[Assessment],3
,Use semaphores or condition variables to block threads until a necessary precondition holds.,PD/Communication and Coordination,[Usage],12
,Provide an example of a problem that fits the producer-consumer paradigm.,"PD/Parallel Algorithms, Analysis, and Programming",[Familiarity],8
,Give examples of problems where pipelining would be an effective means of parallelization.,"PD/Parallel Algorithms, Analysis, and Programming",[Familiarity],9
,Implement a parallel matrix algorithm.,"PD/Parallel Algorithms, Analysis, and Programming",[Usage],10
,Identify issues that arise in producer-consumer algorithms and mechanisms that may be used for addressing them.,"PD/Parallel Algorithms, Analysis, and Programming",[Familiarity],11
,Describe the advantages and limitations of GPUs vs. CPUs.,PD/Parallel Architecture,[Familiarity],4
,Explain the features of each classification in Flynn’s taxonomy.,PD/Parallel Architecture,[Familiarity],5
,Describe assembly-level support for atomic operations.,PD/Parallel Architecture,[Familiarity],6
,Describe the challenges in maintaining cache coherence.,PD/Parallel Architecture,[Familiarity],7
,Describe the key performance challenges in different memory and distributed system topologies.,PD/Parallel Architecture,[Familiarity],8
,Detect and correct a load imbalance.,PD/Parallel Performance,[Usage],1
,Calculate the implications of Amdahl’s law for a particular parallel algorithm (cross-reference SF/Evaluation for Amdahl’s Law).,PD/Parallel Performance,[Usage],2
,Describe how data distribution/layout can affect an algorithm’s communication costs.,PD/Parallel Performance,[Familiarity],3
,Detect and correct an instance of false sharing.,PD/Parallel Performance,[Usage],4
,Explain the impact of scheduling on parallel performance.,PD/Parallel Performance,[Familiarity],5
,Explain performance impacts of data locality.,PD/Parallel Performance,[Familiarity],6
,Explain the impact and trade-off related to power usage on parallel performance.,PD/Parallel Performance,[Familiarity],7
,Distinguish network faults from other kinds of failures.,PD/Distributed Systems,[Familiarity],1
,Explain why synchronization constructs such as simple locks are not useful in the presence of distributed faults.,PD/Distributed Systems,[Familiarity],2
,"Write a program that performs any required marshaling and conversion into message units, such as packets, to communicate interesting data between two hosts.",PD/Distributed Systems,[Usage],3
,Measure the observed throughput and response latency across hosts in a given network.,PD/Distributed Systems,[Usage],4
,"Explain why no distributed system can be simultaneously consistent, available, and partition tolerant.",PD/Distributed Systems,[Familiarity],5
,"Implement a simple server -- for example, a spell-checking service.",PD/Distributed Systems,[Usage],6
,"Explain the tradeoffs among overhead, scalability, and fault tolerance when choosing a stateful v. stateless design for a given service.",PD/Distributed Systems,[Familiarity],7
,"Describe the scalability challenges associated with a service growing to accommodate many clients, as well as those associated with a service only transiently having many clients.",PD/Distributed Systems,[Familiarity],8
,Give examples of problems for which consensus algorithms such as leader election are required.,PD/Distributed Systems,[Usage],9
,Discuss the importance of elasticity and resource management in cloud computing.,PD/Cloud Computing,[Familiarity],1
,Explain strategies to synchronize a common view of shared data across a collection of devices.,PD/Cloud Computing,[Familiarity],2
,Explain the advantages and disadvantages of using virtualized infrastructure.,PD/Cloud Computing,[Familiarity],3
,Deploy an application that uses cloud infrastructure for computing and/or data resources.,PD/Cloud Computing,[Usage],4
,Appropriately partition an application between a client and resources.,PD/Cloud Computing,[Usage],5
,"Model a concurrent process using a formal model, such as pi-calculus.",PD/Formal Models and Semantics,[Usage],1
,Explain the characteristics of a particular formal parallel model.,PD/Formal Models and Semantics,[Familiarity],2
,Formally model a shared memory system to show if it is consistent.,PD/Formal Models and Semantics,[Usage],3
,Use a model to show progress guarantees in a parallel algorithm.,PD/Formal Models and Semantics,[Usage],4
,Use formal techniques to show that a parallel algorithm is correct with respect to a safety or liveness property.,PD/Formal Models and Semantics,[Usage],5
,Decide if a specific execution is linearizable or not.,PD/Formal Models and Semantics,[Usage],6
,Use formal grammars to specify the syntax of languages.,PL/Syntax Analysis,[Usage],1
,Use declarative tools to generate parsers and scanners.,PL/Syntax Analysis,[Usage],2
,"Identify key issues in syntax definitions: ambiguity, associativity, precedence.",PL/Syntax Analysis,[Familiarity],3
,"Implement context-sensitive, source-level static analyses such as type-checkers or resolving identifiers to identify their binding occurrences.",PL/Compiler Semantic Analysis,[Usage],1
,Describe semantic analyses using an attribute grammar.,PL/Compiler Semantic Analysis,[Usage],2
,Identify all essential steps for automatically converting source code into assembly or other low-level languages.,PL/Code Generation,[Familiarity],1
,Generate the low-level code for calling functions/methods in modern languages.,PL/Code Generation,[Usage],2
,Discuss why separate compilation requires uniform calling conventions.,PL/Code Generation,[Familiarity],3
,Discuss why separate compilation limits optimization because of unknown effects of calls.,PL/Code Generation,[Familiarity],4
,"Discuss opportunities for optimization introduced by naive translation and approaches for achieving optimization, such as instruction selection, instruction scheduling, register allocation, and peephole optimization.",PL/Code Generation,[Familiarity],5
,"Compare the benefits of different memory-management schemes, using concepts such as fragmentation, locality, and memory overhead.",PL/Runtime Systems,[Familiarity],1
,Discuss benefits and limitations of automatic memory management.,PL/Runtime Systems,[Familiarity],2
,"Explain the use of metadata in run-time representations of objects and activation records, such as class pointers, array lengths, return addresses, and frame pointers.",PL/Runtime Systems,[Familiarity],3
,"Discuss advantages, disadvantages, and difficulties of just-in-time and dynamic recompilation.",PL/Runtime Systems,[Familiarity],4
,Identify the services provided by modern language run-time systems.,PL/Runtime Systems,[Familiarity],5
,Define useful static analyses in terms of a conceptual framework such as dataflow analysis.,PL/Static Analysis,[Usage],1
,Explain why non-trivial sound static analyses must be approximate.,PL/Static Analysis,[Familiarity],2
,Communicate why an analysis is correct (sound and terminating).,PL/Static Analysis,[Usage],3
,Distinguish “may” and “must” analyses.,PL/Static Analysis,[Familiarity],4
,Explain why potential aliasing limits sound program analysis and how alias analysis can help.,PL/Static Analysis,[Familiarity],5
,Use the results of a static analysis for program optimization and/or partial program correctness.,PL/Static Analysis,[Usage],6
,Use various advanced programming constructs and idioms correctly.,PL/Advanced Programming Constructs,[Usage],1
,"Discuss how various advanced programming constructs aim to improve program structure, software quality, and programmer productivity.",PL/Advanced Programming Constructs,[Familiarity],2
,Discuss how various advanced programming constructs interact with the definition and implementation of other language features.,PL/Advanced Programming Constructs,[Familiarity],3
,"Write correct concurrent programs using multiple programming models, such as shared memory, actors, futures, and data-parallelism primitives.",PL/Concurrency and Parallelism,[Usage],1
,Use a message-passing model to analyze a communication protocol.,PL/Concurrency and Parallelism,[Usage],2
,Explain why programming languages do not guarantee sequential consistency in the presence of data races and what programmers must do as a result.,PL/Concurrency and Parallelism,[Familiarity],3
,Define a type system precisely and compositionally.,PL/Type Systems,[Usage],1
,"For various foundational type constructors, identify the values they describe and the invariants they enforce.",PL/Type Systems,[Familiarity],2
,Precisely specify the invariants preserved by a sound type system.,PL/Type Systems,[Familiarity],3
,Prove type safety for a simple language in terms of preservation and progress theorems.,PL/Type Systems,[Usage],4
,Implement a unification-based type-inference algorithm for a simple language.,PL/Type Systems,[Usage],5
,Explain how static overloading and associated resolution algorithms influence the dynamic behavior of programs.,PL/Type Systems,[Familiarity],6
,Give a formal semantics for a small language.,PL/Formal Semantics,[Usage],1
,Write a lambda-calculus program and show its evaluation to a normal form.,PL/Formal Semantics,[Usage],2
,"Discuss the different approaches of operational, denotational, and axiomatic semantics.",PL/Formal Semantics,[Familiarity],3
,Use induction to prove properties of all programs in a language.,PL/Formal Semantics,[Usage],4
,Use induction to prove properties of all programs in a language that are well-typed according to a formally defined type system.,PL/Formal Semantics,[Usage],5
,Use parametricity to establish the behavior of code given only its type.,PL/Formal Semantics,[Usage],6
,Use formal semantics to build a formal model of a software system other than a programming language.,PL/Formal Semantics,[Usage],7
,Discuss the role of concepts such as orthogonality and well-chosen defaults in language design.,PL/Language Pragmatics,[Familiarity],1
,Use crisp and objective criteria for evaluating language-design decisions.,PL/Language Pragmatics,[Usage],2
,"Give an example program whose result can differ under different rules for evaluation order, precedence, or associativity.",PL/Language Pragmatics,[Usage],3
,"Show uses of delayed evaluation, such as user-defined control abstractions.",PL/Language Pragmatics,[Familiarity],4
,Discuss the need for allowing calls to external calls and system libraries and the consequences for language implementation.,PL/Language Pragmatics,[Familiarity],5
,Use a logic language to implement a conventional algorithm.,PL/Logic Programming,[Usage],1
,"Use a logic language to implement an algorithm employing implicit search using clauses, relations, and cuts.",PL/Logic Programming,[Usage],2
,Define software quality and describe the role of quality assurance activities in the software process.,SE/Software Processes,[Familiarity],8
,Describe the intent and fundamental similarities among process improvement approaches.,SE/Software Processes,[Familiarity],9
,"Compare several process improvement models such as CMM, CMMI, CQI, Plan-Do-Check-Act, or ISO9000.",SE/Software Processes,[Assessment],10
,Assess a development effort and recommend potential changes by participating in process improvement (using a model such as PSP) or engaging in a project retrospective.,SE/Software Processes,[Usage],11
,Explain the role of process maturity models in process improvement.,SE/Software Processes,[Familiarity],12
,Describe several process metrics for assessing and controlling a project.,SE/Software Processes,[Familiarity],13
,Use project metrics to describe the current state of a project.,SE/Software Processes,[Usage],14
,Demonstrate through involvement in a team project the central elements of team building and team management.,SE/Software Project Management,[Usage],10
,Describe how the choice of process model affects team organizational structures and decision-making processes.,SE/Software Project Management,[Familiarity],11
,Create a team by identifying appropriate roles and assigning roles to team members.,SE/Software Project Management,[Usage],12
,Assess and provide feedback to teams and individuals on their performance in a team setting.,SE/Software Project Management,[Usage],13
,"Using a particular software process, describe the aspects of a project that need to be planned and monitored, (e.g., estimates of size and effort, a schedule, resource allocation, configuration control, change management, and project risk identification and management).",SE/Software Project Management,[Familiarity],14
,Track the progress of some stage in a project using appropriate project metrics.,SE/Software Project Management,[Usage],15
,Compare simple software size and cost estimation techniques.,SE/Software Project Management,[Usage],16
,Use a project management tool to assist in the assignment and tracking of tasks in a software development project.,SE/Software Project Management,[Usage],17
,Describe the impact of risk tolerance on the software development process.,SE/Software Project Management,[Assessment],18
,"Identify risks and describe approaches to managing risk (avoidance, acceptance, transference, mitigation), and characterize the strengths and shortcomings of each.",SE/Software Project Management,[Familiarity],19
,Explain how risk affects decisions in the software development process.,SE/Software Project Management,[Usage],20
,Identify security risks for a software system.,SE/Software Project Management,[Usage],21
,Demonstrate a systematic approach to the task of identifying hazards and risks in a particular situation.,SE/Software Project Management,[Usage],22
,Apply the basic principles of risk management in a variety of simple scenarios including a security situation.,SE/Software Project Management,[Usage],23
,Conduct a cost/benefit analysis for a risk mitigation approach.,SE/Software Project Management,[Usage],24
,Identify and analyze some of the risks for an entire system that arise from aspects other than the software.,SE/Software Project Management,[Usage],25
,Apply key elements and common methods for elicitation and analysis to produce a set of software requirements for a medium-sized software system.,SE/Requirements Engineering,[Usage],8
,Compare the plan-driven and agile approaches to requirements specification and validation and describe the benefits and risks associated with each.,SE/Requirements Engineering,[Familiarity],9
,"Use a common, non-formal method to model and specify the requirements for a medium-size software system.",SE/Requirements Engineering,[Usage],10
,"Translate into natural language a software requirements specification (e.g., a software component contract) written in a formal specification language.",SE/Requirements Engineering,[Usage],11
,Create a prototype of a software system to mitigate risk in requirements.,SE/Requirements Engineering,[Usage],12
,Differentiate between forward and backward tracing and explain their roles in the requirements validation process.,SE/Requirements Engineering,[Familiarity],13
,Discuss and select appropriate software architecture for a simple system suitable for a given scenario.,SE/Software Design,[Usage],16
,Apply models for internal and external qualities in designing software components to achieve an acceptable tradeoff between conflicting quality aspects.,SE/Software Design,[Usage],17
,Analyze a software design from the perspective of a significant internal quality attribute.,SE/Software Design,[Assessment],18
,Analyze a software design from the perspective of a significant external quality attribute.,SE/Software Design,[Assessment],19
,Explain the role of objects in middleware systems and the relationship with components.,SE/Software Design,[Familiarity],20
,"Apply component-oriented approaches to the design of a range of software, such as using components for concurrency and transactions, for reliable communication services, for database interaction including services for remote query and database management, or for secure communication and access.",SE/Software Design,[Usage],21
,Refactor an existing software implementation to improve some aspect of its design.,SE/Software Design,[Usage],22
,State and apply the principles of least privilege and fail-safe defaults.,SE/Software Design,[Familiarity],23
,"Rewrite a simple program to remove common vulnerabilities, such as buffer overflows, integer overflows and race conditions.",SE/Software Construction,[Usage],8
,Write a software component that performs some non-trivial task and is resilient to input and run-time errors.,SE/Software Construction,[Usage],9
,Evaluate a test suite for a medium-size code segment.,SE/Software Verification and Validation,[Usage],10
,Compare static and dynamic approaches to verification.,SE/Software Verification and Validation,[Familiarity],11
,Identify the fundamental principles of test-driven development methods and explain the role of automated testing in these methods.,SE/Software Verification and Validation,[Familiarity],12
,Discuss the issues involving the testing of object-oriented software.,SE/Software Verification and Validation,[Usage],13
,Describe techniques for the verification and validation of non-code artifacts.,SE/Software Verification and Validation,[Familiarity],14
,Describe approaches for fault estimation.,SE/Software Verification and Validation,[Familiarity],15
,Estimate the number of faults in a small software application based on fault density and fault seeding.,SE/Software Verification and Validation,[Usage],16
,Conduct an inspection or review of software source code for a small or medium sized software project.,SE/Software Verification and Validation,[Usage],17
,Compare the characteristics of three different reliability modeling approaches.,SE/Software Reliability,[Familiarity],4
,Demonstrate the ability to apply multiple methods to develop reliability estimates for a software system.,SE/Software Reliability,[Usage],5
,Identify methods that will lead to the realization of a software architecture that achieves a specified level of reliability.,SE/Software Reliability,[Usage],6
,Identify ways to apply redundancy to achieve fault tolerance for a medium-sized application.,SE/Software Reliability,[Usage],7
,Describe the role formal specification and analysis techniques can play in the development of complex software and compare their use as validation and verification techniques with testing.,SE/Formal Methods,[Familiarity],1
,Apply formal specification and analysis techniques to software designs and programs with low complexity.,SE/Formal Methods,[Usage],2
,Explain the potential benefits and drawbacks of using formal specification languages.,SE/Formal Methods,[Familiarity],3
,Create and evaluate program assertions for a variety of behaviors ranging from simple through complex.,SE/Formal Methods,[Usage],4
,"Using a common formal specification language, formulate the specification of a simple software system and derive examples of test cases from the specification.",SE/Formal Methods,[Usage],5
,Explain the circumstances in which a given figure of system performance metric is useful.,SF/Quantitative Evaluation,[Familiarity],1
,Explain the inadequacies of benchmarks as a measure of system performance.,SF/Quantitative Evaluation,[Familiarity],2
,Use limit studies or simple calculations to produce order-of-magnitude estimates for a given performance metric in a given context.,SF/Quantitative Evaluation,[Usage],3
,Conduct a performance experiment on a layered system to determine the effect of a system parameter on figure of system performance.,SF/Quantitative Evaluation,[Assessment],4
,Identify the goals of the open source movement.,SP/Intellectual Property,[Familiarity],11
,Identify the global nature of software piracy.,SP/Intellectual Property,[Familiarity],12
,"Critique the intent, potential value and implementation of various forms of privacy legislation.",SP/Privacy and Civil Liberties,[Assessment],6
,Identify strategies to enable appropriate freedom of expression.,SP/Privacy and Civil Liberties,[Familiarity],7
,Discuss ways to influence performance and results in cross-cultural teams.,SP/Professional Communication,[Familiarity],8
,"Examine the tradeoffs and common sources of risk in software projects regarding technology, structure/process, quality, people, market and financial.",SP/Professional Communication,[Usage],9
,Evaluate personal strengths and weaknesses to work remotely as part of a multinational team.,SP/Professional Communication,[Assessment],10
,Identify guidelines for sustainable IT design or deployment.,SP/Sustainability,[Familiarity],5
,List the sustainable effects of telecommuting or web shopping.,SP/Sustainability,[Familiarity],6
,"Investigate pervasive computing in areas such as smart energy systems, social networking, transportation, agriculture, supply-chain systems, environmental monitoring and citizen activism.",SP/Sustainability,[Usage],7
,"Develop applications of computing and assess through research areas pertaining to environmental issues (e.g. energy, pollution, resource usage, recycling and reuse, food management, farming).",SP/Sustainability,[Assessment],8
,Identify significant continuing trends in the history of the computing field.,SP/History,[Familiarity],1
,Identify the contributions of several pioneers in the computing field.,SP/History,[Familiarity],2
,Discuss the historical context for several programming language paradigms.,SP/History,[Familiarity],3
,Compare daily life before and after the advent of personal computers and the Internet.,SP/History,[Assessment],4
,Summarize the rationale for antimonopoly efforts.,SP/Economies of Computing,[Familiarity],1
,Identify several ways in which the information technology industry is affected by shortages in the labor supply.,SP/Economies of Computing,[Familiarity],2
,Identify the evolution of pricing strategies for computing goods and services.,SP/Economies of Computing,[Familiarity],3
,"Discuss the benefits, the drawbacks and the implications of off-shoring and outsourcing.",SP/Economies of Computing,[Familiarity],4
,Investigate and defend ways to address limitations on access to computing.,SP/Economies of Computing,[Usage],5
,Describe the economic benefits of network effects.,SP/Economies of Computing,[Familiarity],6
,List classic examples of computer crimes and social engineering incidents with societal impact.,"SP/Security Policies, Laws and Computer Crimes",[Familiarity],1
,Identify laws that apply to computer crimes.,"SP/Security Policies, Laws and Computer Crimes",[Familiarity],2
,Describe the motivation and ramifications of cyber terrorism and criminal hacking.,"SP/Security Policies, Laws and Computer Crimes",[Familiarity],3
,Examine the ethical and legal issues surrounding the misuse of access and various breaches in security.,"SP/Security Policies, Laws and Computer Crimes",[Usage],4
,Discuss the professional's role in security and the trade-offs involved.,"SP/Security Policies, Laws and Computer Crimes",[Familiarity],5
,Investigate measures that can be taken by both individuals and organizations including governments to prevent or mitigate the undesirable effects of computer crimes and identity theft.,"SP/Security Policies, Laws and Computer Crimes",[Usage],6
,"Write a company-wide security policy, which includes procedures for managing passwords and employee monitoring.","SP/Security Policies, Laws and Computer Crimes",[Usage],7
